Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Abstract Method,"com.nostra13.universalimageloader.cache.disc.DiscCacheAware.put",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.LimitedDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.LimitedDiscCache",1,1,1,1
Private Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.calculateCacheSizeAndFillUsageMap",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.clear",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.get",1,1,1,1
Protected Abstract Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.put",3,3,3,3
Private Method,"com.nostra13.universalimageloader.cache.disc.LimitedDiscCache.removeNext",1,6,6,6
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.FileCountLimitedDiscCache.FileCountLimitedDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.FileCountLimitedDiscCache.FileCountLimitedDiscCache",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.disc.impl.FileCountLimitedDiscCache.getSize",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache.LimitedAgeDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache.LimitedAgeDiscCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache.get",1,4,4,4
Public Method,"com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache.put",1,1,1,1
Private Method,"com.nostra13.universalimageloader.cache.disc.impl.LimitedAgeDiscCache.readLoadingDates",1,2,2,2
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.TotalSizeLimitedDiscCache.TotalSizeLimitedDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.TotalSizeLimitedDiscCache.TotalSizeLimitedDiscCache",1,2,2,2
Protected Method,"com.nostra13.universalimageloader.cache.disc.impl.TotalSizeLimitedDiscCache.getSize",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.UnlimitedDiscCache.UnlimitedDiscCache",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.disc.impl.UnlimitedDiscCache.UnlimitedDiscCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.impl.UnlimitedDiscCache.put",1,1,1,1
Public Abstract Method,"com.nostra13.universalimageloader.cache.disc.naming.FileNameGenerator.generate",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.naming.HashCodeFileNameGenerator.generate",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.disc.naming.Md5FileNameGenerator.generate",1,1,1,1
Private Method,"com.nostra13.universalimageloader.cache.disc.naming.Md5FileNameGenerator.getMD5",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.clear",1,1,1,1
Protected Abstract Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.createReference",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.get",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.keys",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.put",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.BaseMemoryCache.remove",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.LimitedMemoryCache",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.clear",1,1,1,1
Protected Abstract Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.getSize",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.getSizeLimit",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.put",1,4,4,4
Public Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.remove",1,3,3,3
Protected Abstract Method,"com.nostra13.universalimageloader.cache.memory.LimitedMemoryCache.removeNext",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.memory.MemoryCacheAware.clear",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.memory.MemoryCacheAware.get",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.memory.MemoryCacheAware.keys",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.memory.MemoryCacheAware.put",1,1,1,1
Abstract Method,"com.nostra13.universalimageloader.cache.memory.MemoryCacheAware.remove",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.FIFOLimitedMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.clear",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.createReference",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.getSize",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.put",1,2,2,2
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.remove",1,2,2,2
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.FIFOLimitedMemoryCache.removeNext",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.FuzzyKeyMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.clear",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.get",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.keys",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.put",1,3,3,3
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.FuzzyKeyMemoryCache.remove",1,1,1,1
Public Constructor,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.LRULimitedMemoryCache",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.clear",1,1,1,1
Protected Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.createReference",1,1,1,1
Public Method,"com.nostra13.universalimageloader.cache.memory.impl.LRULimitedMemoryCache.get",1,1,1,1
