Kind,Name,CountLineCode,CountLineComment,CountLineBlank
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\DoubleDiffer.java",12,36,6
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\GraphicsProxy.java",282,39,168
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitAll.java",19,21,2
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitDateNumberFormat.java",25,21,5
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitDoubleData.java",912,92,168
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitExpFormat.java",20,21,5
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitIntegerTickMarkCalculator.java",113,21,41
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitLinearTickMarkCalculator.java",121,21,43
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitLogTickMarkCalculator.java",119,21,17
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitTimeTickMarkCalculator.java",222,21,86
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\LineChecker.java",83,63,19
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\PropertyTester.java",79,21,9
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\internal\JUnitInternal.java",9,21,2
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\internal\JUnitRangeSet.java",135,21,31
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitCompressingXYDataset.java",236,21,38
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitDefaultCompressor.java",445,21,95
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitDefaultXYLayoutGenerator.java",116,21,35
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitLinearXYAxis.java",382,21,68
