Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\internal\ParameterizedAssertionError.java",8,2,3,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\suppliers\TestedOn.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\experimental\theories\suppliers\TestedOnSupplier.java",2,2,2,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ArrayComparisonFailure.java",6,2,3,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\AssumptionViolatedException.java",6,2,2,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ComparisonCriteria.java",13,3,7,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\ExactComparisonCriteria.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\InexactComparisonCriteria.java",3,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\JUnitSystem.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\RealSystem.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\TextListener.java",17,1,4,,,,12,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\AllDefaultPossibilitiesBuilder.java",10,1,3,,,,7,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\AnnotatedBuilder.java",6,2,3,,,,3,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\IgnoredBuilder.java",2,2,2,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\IgnoredClassRunner.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\JUnit3Builder.java",3,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\JUnit4Builder.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\NullBuilder.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\builders\SuiteMethodBuilder.java",4,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\CombinableMatcher.java",5,1,1,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\Each.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\IsCollectionContaining.java",11,2,3,,,,7,,,,3
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\StringContains.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\SubstringMatcher.java",5,1,1,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\matchers\TypeSafeMatcher.java",9,2,4,,,,6,,,,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\ClassRequest.java",3,1,1,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\FilterRequest.java",3,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\SortingRequest.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\requests\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\ClassRoadie.java",14,2,5,,,,6,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\ErrorReportingRunner.java",11,2,4,,,,6,,,,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\FailedBefore.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\InitializationError.java",4,1,1,,,,4,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\JUnit38ClassRunner.java",33,2,7,,,,19,,,,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\JUnit4ClassRunner.java",27,1,4,,,,20,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\MethodRoadie.java",32,3,7,,,,12,,,,4
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\MethodValidator.java",17,2,8,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\SuiteMethod.java",4,2,3,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\TestClass.java",23,2,5,,,,12,,,,5
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\TestMethod.java",11,1,2,,,,9,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\EachTestNotifier.java",9,1,2,,,,7,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\MultipleFailureException.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\model\ReflectiveCallable.java",3,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\rules\RuleFieldValidator.java",15,1,2,,,,11,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\ExpectException.java",6,3,5,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\Fail.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\FailOnTimeout.java",6,2,3,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\InvokeMethod.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\RunAfters.java",5,3,4,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\internal\runners\statements\RunBefores.java",3,2,2,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\matchers\JUnitMatchers.java",8,1,1,,,,8,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\matchers\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ErrorCollector.java",6,1,2,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ExpectedException.java",16,1,4,,,,12,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\ExternalResource.java",5,1,1,,,,5,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\MethodRule.java",1,1,1,,,,1,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\RunRules.java",4,1,2,,,,3,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\TemporaryFolder.java",10,1,3,,,,8,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\TestName.java",2,1,1,,,,2,,,,1
File,"C:\f1\JUnit\src\main\java\org\junit\rules\TestRule.java",1,1,1,,,,1,,,,1
