Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\XSimpleQueryParser.java",59,4,11,,,,16,,,,8
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\classic\ExistsFieldQueryExtension.java",4,4,4,,,,1,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\classic\FieldQueryExtension.java",1,1,1,,,,1,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\classic\MapperQueryParser.java",186,7,21,,,,27,,,,13
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\classic\MissingFieldQueryExtension.java",4,4,4,,,,1,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\queryparser\classic\QueryParserSettings.java",122,2,44,,,,59,,,,31
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\postingshighlight\CustomPassageFormatter.java",8,3,6,,,,3,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\postingshighlight\CustomPostingsHighlighter.java",18,2,3,,,,11,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\postingshighlight\Snippet.java",4,1,1,,,,4,,,,1
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\postingshighlight\XPostingsHighlighter.java",99,3,25,,,,39,,,,15
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\suggest\analyzing\XAnalyzingSuggester.java",114,3,18,,,,37,,,,9
File,"C:\f1\Elasticsearch-0.90.11\Elasticsearch-0.90.11\src\main\java\org\apache\lucene\search\suggest\analyzing\XFuzzySuggester.java",16,2,6,,,,7,,,,3
