Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientCountDownLatchProxy.java",12,1,2,,,,10,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientExecutorServiceProxy.java",99,1,6,,,,67,,,,3
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientIdGeneratorProxy.java",9,2,3,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientListProxy.java",15,1,2,,,,13,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientLockProxy.java",23,1,2,,,,20,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientMapProxy.java",136,2,9,,,,75,,,,4
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientMapReduceProxy.java",31,1,2,,,,23,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientMultiMapProxy.java",47,1,6,,,,34,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientQueueProxy.java",48,1,3,,,,36,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientReplicatedMapProxy.java",37,1,5,,,,26,,,,4
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientSemaphoreProxy.java",21,1,2,,,,18,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientSetProxy.java",2,1,1,,,,2,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\ClientTopicProxy.java",12,1,2,,,,11,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\PartitionServiceProxy.java",7,1,2,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\proxy\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientClusterService.java",6,1,1,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientContext.java",8,1,1,,,,8,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientExecutionService.java",9,1,1,,,,9,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientInvocationService.java",6,1,1,,,,6,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientPartitionService.java",5,1,1,,,,5,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientProxy.java",35,2,6,,,,23,,,,6
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\ClientProxyFactory.java",1,1,1,,,,1,,,,1
File,"C:\f1\hazelcast-3.3-EA\hazelcast-client\src\main\java\com\hazelcast\client\spi\EventHandler.java",2,1,1,,,,2,,,,1
