Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYDataset.java",2,1,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYDimension.java",2,0,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYGrid.java",12,2,6,,,,5,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYLocationDisplay.java",13,1,2,,,,10,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYMarkerLine.java",18,3,6,,,,6,,,,3
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYPlot.java",12,1,3,,,,9,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYPlotContents.java",5,1,2,,,,4,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYPlotLine.java",17,1,1,,,,17,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\XYReversingDataset.java",7,1,1,,,,7,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\main\java\plotter\xy\package-info.java",0,0,0,,,,0,,,,0
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\CountingGraphics.java",15,2,5,,,,10,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\DoubleDiffer.java",2,1,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\GraphicsProxy.java",83,1,1,,,,83,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitAll.java",1,1,1,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitDateNumberFormat.java",2,1,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitDoubleData.java",123,2,7,,,,61,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitExpFormat.java",2,1,1,,,,2,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitIntegerTickMarkCalculator.java",21,1,2,,,,20,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitLinearTickMarkCalculator.java",23,1,2,,,,21,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitLogTickMarkCalculator.java",9,1,2,,,,8,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\JUnitTimeTickMarkCalculator.java",42,1,2,,,,40,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\LineChecker.java",16,3,8,,,,6,,,,7
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\PropertyTester.java",23,12,22,,,,2,,,,3
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\internal\JUnitInternal.java",1,1,1,,,,1,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\internal\JUnitRangeSet.java",14,1,1,,,,14,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitCompressingXYDataset.java",18,1,2,,,,15,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitDefaultCompressor.java",45,1,3,,,,42,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitDefaultXYLayoutGenerator.java",4,1,1,,,,4,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitLinearXYAxis.java",16,1,1,,,,16,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitLinearXYPlotLine.java",34,1,2,,,,33,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitLinearXYPlotLineYIndependent.java",30,1,2,,,,29,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitScatterXYPlotLine.java",53,1,2,,,,52,,,,1
File,"C:\f1\mct-1.7b1\Plotter\src\test\java\plotter\xy\JUnitSimpleXYDataset.java",9,1,1,,,,9,,,,1
