Kind,Name,SumCyclomatic,AvgCyclomatic,MaxCyclomatic,CountClassDerived,MaxInheritanceTree,CountDeclMethodAll,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountClassBase,MaxEssential
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\Secondary_Key.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\Secondary_Map.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\Transactions.java",3,3,3,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\Transactions2.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\TreeMap_Composite_Key.java",7,7,7,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\TreeMap_Performance_Tunning.java",5,5,5,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\_HelloWorld.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\examples\_TempMap.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\AsyncWriteEngineTest.java",14,2,4,,,,7,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\AtomicBooleanTest.java",9,1,2,,,,8,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\AtomicIntegerTest.java",22,1,2,,,,17,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\AtomicLongTest.java",23,1,2,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeKeySerializerTest.java",21,3,5,,,,8,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapExtendTest.java",906,9,125,,,,96,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapLargeValsTest.java",7,1,2,,,,6,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapNavigable2Test.java",45,1,2,,,,34,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapNavigableSubMapExclusiveTest.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapNavigableSubMapInclusiveTest.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapNavigableTest.java",18,1,1,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapSubSetTest.java",104,2,3,,,,58,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest.java",35,2,7,,,,17,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest2.java",7,1,2,,,,6,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest3.java",44,3,8,,,,16,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest4.java",176,3,13,,,,58,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest5.java",124,1,2,,,,96,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeMapTest6.java",172,2,27,,,,83,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeSet2Test.java",155,3,27,,,,61,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeSet3Test.java",120,2,3,,,,70,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\BTreeSetTest.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\CCTest.java",3,3,3,,,,1,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\CacheWeakSoftRefTest.java",6,2,4,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\CompressTest.java",2,1,1,,,,2,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\ConcurrentMapInterfaceTest.java",137,5,7,,,,28,,,,3
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\DBMakerTest.java",28,1,2,,,,27,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\DBTest.java",7,1,1,,,,7,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\DebugVolume.java",19,1,2,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\EngineTest.java",34,1,4,,,,23,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\EngineWrapper_ImmutabilityCheckEngine.java",3,3,3,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\ExamplesTest.java",18,1,1,,,,18,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\FunTest.java",33,5,9,,,,7,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\HTreeMap2Test.java",68,3,10,,,,26,,,,4
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\HTreeMap3Test.java",7,1,2,,,,6,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\HTreeSetTest.java",12,1,2,,,,10,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue112Test.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue114Test.java",1,1,1,,,,1,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue132Test.java",12,3,5,,,,4,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue148Test.java",19,2,8,,,,8,,,,8
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue150Test.java",20,2,10,,,,9,,,,10
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue154Test.java",3,1,1,,,,3,,,,1
File,"C:\f1\mapdb-mapdb-0.9.6\src\test\java\org\mapdb\Issue157Test.java",6,2,2,,,,3,,,,1
