Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Method,"jsr166e.CompletableFuture.cancel",1,1,1,3
Public Method,"jsr166e.CompletableFuture.complete",1,2,2,3
Public Method,"jsr166e.CompletableFuture.completeExceptionally",1,2,2,3
Public Static Generic Method,"jsr166e.CompletableFuture.completedFuture",1,2,2,2
Private Method,"jsr166e.CompletableFuture.doAcceptEither",5,13,13,19
Private Generic Method,"jsr166e.CompletableFuture.doApplyToEither",5,13,13,19
Private Method,"jsr166e.CompletableFuture.doRunAfterBoth",7,15,15,27
Private Method,"jsr166e.CompletableFuture.doRunAfterEither",5,13,13,19
Private Method,"jsr166e.CompletableFuture.doThenAccept",4,11,11,14
Private Generic Method,"jsr166e.CompletableFuture.doThenAcceptBoth",7,16,16,27
Private Generic Method,"jsr166e.CompletableFuture.doThenApply",4,11,11,14
Private Generic Method,"jsr166e.CompletableFuture.doThenCombine",7,16,16,27
Private Generic Method,"jsr166e.CompletableFuture.doThenCompose",4,14,14,16
Private Method,"jsr166e.CompletableFuture.doThenRun",4,11,11,14
Public Method,"jsr166e.CompletableFuture.exceptionally",4,9,9,11
Public Method,"jsr166e.CompletableFuture.get",3,6,6,8
Public Method,"jsr166e.CompletableFuture.get",3,7,7,8
Public Method,"jsr166e.CompletableFuture.getNow",4,6,6,6
Public Method,"jsr166e.CompletableFuture.getNumberOfDependents",1,2,2,2
Private Static Method,"jsr166e.CompletableFuture.getUnsafe",3,3,3,3
Public Method,"jsr166e.CompletableFuture.getUnsafe.(Anon_1).run",3,3,3,3
Public Generic Method,"jsr166e.CompletableFuture.handle",4,8,8,10
Method,"jsr166e.CompletableFuture.helpPostComplete",1,2,2,2
Method,"jsr166e.CompletableFuture.internalComplete",1,5,5,5
Public Method,"jsr166e.CompletableFuture.isCancelled",1,1,1,2
Public Method,"jsr166e.CompletableFuture.isDone",1,1,1,1
Public Method,"jsr166e.CompletableFuture.join",3,6,6,6
Public Method,"jsr166e.CompletableFuture.obtrudeException",1,2,2,2
Public Method,"jsr166e.CompletableFuture.obtrudeValue",1,2,2,2
Method,"jsr166e.CompletableFuture.postComplete",1,5,5,7
Private Method,"jsr166e.CompletableFuture.removeWaiter",8,8,8,8
Public Method,"jsr166e.CompletableFuture.runAfterBoth",1,1,1,1
Public Method,"jsr166e.CompletableFuture.runAfterBothAsync",1,1,1,1
Public Method,"jsr166e.CompletableFuture.runAfterBothAsync",1,2,2,2
Public Method,"jsr166e.CompletableFuture.runAfterEither",1,1,1,1
Public Method,"jsr166e.CompletableFuture.runAfterEitherAsync",1,1,1,1
Public Method,"jsr166e.CompletableFuture.runAfterEitherAsync",1,2,2,2
Public Static Method,"jsr166e.CompletableFuture.runAsync",1,2,2,2
